Feature-1,Feature-2,Feature-3,Feature-4,Feature-5,Feature-6,Feature-7,Feature-8,Feature-9,Feature-10,Feature-11,Feature-12,Feature-13,Feature-14,Feature-15,Feature-16,Feature-17,Feature-18,Feature-19,Group
0.004627952,0.019148445,159.55437,-48.4656,-18.622492,-55.453693,-17.9042,-26.408573,-20.033222,-25.89514,-24.222137,-17.498884,-8.2664995,-12.450073,781.2611694,3043996.75,-6.68E-09,0.039092574,7.192028999,0
0.003655672,0.016179947,-75.0489,-109.2075,-20.689531,-36.63735,-15.353425,-10.830568,5.9571185,5.611942,17.785563,33.730278,27.76647,-2.688192,2729.994629,4144452,-3.65E-09,0.08807373,5.983333111,0
0.003892733,0.014778458,118.81357,-121.5418,-44.91979,-23.825174,-18.120655,-11.320558,-15.416914,-12.116424,-12.225453,-6.5080824,-8.64812,-13.02144,1665.126221,2433743,-5.54E-09,0.058577564,9.082873344,0
0.004024678,0.011460705,-31.019922,-130.58963,-11.459607,-40.25057,-4.261315,-4.118211,11.56481,25.780918,30.117773,20.38065,0.19111283,-36.520092,2087.406494,3191681.75,-4.93E-09,0.068590663,5.251461983,0
0.004201841,0.010237503,107.85681,-132.75864,-58.050293,-26.67955,-22.391628,-10.768975,-17.891474,-17.597157,-16.534271,-7.7469964,-0.83373743,-3.9698408,1416.064453,2192718,-6.13E-09,0.065591618,6.770408154,0
0.003564333,0.007754414,0.9852613,-110.69882,-15.30971,-29.89896,-8.567121,-8.146523,3.16322,4.0991244,18.684582,33.27786,23.289837,-2.8428416,1962.45105,3592574,-5.11E-09,0.071995236,4.005376339,0
0.002892473,0.008963578,-5.8734083,-95.15529,-10.69863,-30.446335,-0.81794465,-1.4108863,7.187865,14.981325,19.340103,19.483995,6.508905,-23.472353,2250.971191,4315766.5,-3.71E-09,0.110127434,3.4808743,0
0.004154749,0.010099774,95.07124,-107.86153,-45.501484,-35.17097,-7.3327413,-22.33504,-24.498163,-22.534018,-13.14325,7.0451508,22.96151,25.050877,973.4245605,3318990.5,-5.63E-09,0.041973647,4.474683762,0
0.003367789,0.02194302,70.85396,-123.860344,-21.767914,-50.125618,-27.307438,-26.936295,-16.141129,-32.39835,-20.861357,-14.581633,-15.941846,-5.9736447,2345.622314,2920798.5,-2.94E-09,0.081535049,19.08648682,0
0.004308876,0.013797447,138.59735,-115.747314,-42.88811,-33.184505,-25.33497,-19.374485,-20.428347,-22.264938,-17.514757,-12.442397,-10.814946,-9.11972,1552.208862,2851553.75,-6.09E-09,0.073804304,11.88292694,0
